id,name
594,SDN 29 Dampelas
595,SMPN Satap 7 Dampelas
596,SDN 30 Dampelas
597,SDN 32 Dampelas
598,SDN 31 Dampelas
599,SMPN Satap 8 Dampelas
600,SDN 34 Dampelas
601,SMPN Satap 9 Dampelas
602,TK Negeri Pembina Desa Sabang
603,SMP Negeri 7 Dampelas
604,UPTD Kec. Sojol
605,SDN 26 Sojol
606,SDN 4 Sojol
607,SDN 1 Sojol
608,SDN 5 Sojol
609,SDN 3 Sojol
610,SDN 2 Sojol
611,SDN 18 Sojol
612,SDN 6 Sojol
613,SDN 14 Sojol
614,SDN 27 Sojol
615,SDN 7 Sojol
616,SDN 28 Sojol
617,SDN 9 Sojol
618,SDN 10 Sojol
619,SDN 8 Sojol
620,SDN 11 Sojol
621,SD Negeri Balukang
622,SDN 12 Sojol
623,SDN 13 Sojol
624,SDN 15 Sojol
625,SDN 16 Sojol
626,SDN 21 Sojol
627,SDN 22 Sojol
628,SDN 19 Sojol
629,SDN 23 Sojol
630,SDN 17 Sojol
631,SDN 20 Sojol
632,SDN 24 Sojol
633,SDN 25 Sojol
634,SMP Negeri 1 Sojol
635,SMP Negeri 2 Sojol
636,SMP Negeri 3 Sojol
637,SMP Negeri 4 Sojol
638,SMP Negeri 5 Sojol
639,SMPN Satap 6 Sojol
640,SMPN SATAP 7 SOJOL
641,SMPN 8 SOJOL
642,SMPN 9 SOJOL
643,SMPN 10 SOJOL
644,TK Negeri Pembina Tonggolobibi
645,SMPN Satap 10 Sojol
646,SMP Negeri 6 Sojol
647,SMPN Satap 9 Sojol
648,UPTD Kec. Sojol Utara
649,SD SMP Satu Atap Negeri 7 Sojol Utara
650,SDN 1 Sojol Utara
651,SDN 3 Sojol Utara
652,SDN 4 Sojol Utara
653,SDN 6 Sojol Utara
654,SDN 7 Sojol Utara
655,SDN 8 Sojol Utara
656,SDN 5 Sojol Utara
657,SMPN Satap 2 Sojol Utara
658,SMPN Satap 3 Sojol Utara
659,SMP Negeri 1 Sojol Utara
660,SDN 2 Sojol Utara
661,SMP Negeri 2 Sojol Utara
662,Dinas Pemuda dan Olahraga
663,Dinas Pemberdayaan Masyarakat dan Desa
664,Dinas Sosial
665,Badan Penanggulangan Bencana Daerah
666,Dinas Pemberdayaan Perempuan dan Perlindungan Anak
667,Dinas Tenaga Kerja dan Transmigrasi
668,"Dinas Tanaman Pangan, Hortikultura dan Perkebunan"
669,Dinas Peternakan dan Kesehatan Hewan
670,Dinas Perikanan
671,Dinas Ketahanan Pangan
672,"Badan Pelaksana Penyuluhan Pertanian, Perikanan dan Kehutanan "
673,Dinas Perindustrian dan Perdagangan
674,"Dinas Koperasi, Usaha Mikro Kecil dan Menengah"
675,Badan Pengelolaan Keuangan dan Aset Daerah
676,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu
677,Badan Pendapatan Daerah
678,Inspektorat
679,Badan Perencanaan Pembangunan Daerah
680,Badan Penelitian dan Pengembangan
681,Dinas Lingkungan Hidup Daerah
682,Dinas Pariwisata
683,Badan Kesatuan Bangsa dan Politik
684,Kantor Satuan Polisi Pamong Praja
685,"Badan Kepegawaian, Pendidikan dan Pelatihan Daerah"
686,Dinas Perpustakaan
687,Dinas Kearsipan
688,Kantor Kecamatan Banawa
689,Kantor Kelurahan Ganti
690,Kantor Kelurahan Tanjung Batu
691,Kantor Kelurahan Gunung Bale
692,Kantor Kelurahan Boneoge
693,Kantor Kelurahan Maleni
694,Kantor Kelurahan Kabonga Kecil
695,Kantor Kelurahan Boya
696,Kantor Kelurahan Labuan Bajo
697,Kantor Kelurahan Kabonga Besar
698,Kantor Kecamatan Banawa Tengah
699,Kantor Kecamatan Banawa Selatan
700,Kantor Kecamatan Riopakava
701,Kantor Kecamatan Pinembani
702,Kantor Kecamatan Labuan
703,Kantor Kecamatan Tanantovea
704,Kantor Kecamatan Sindue
705,Kantor Kecamatan Sindue Tobata
706,Kantor Kecamatan Sindue Tombusabora
707,Kantor Kecamatan Sirenja
708,Kantor Kecamatan Balaesang
709,Kantor Kecamatan Dampelas
710,Kantor Kecamatan Sojol
711,Kantor Kecamatan Sojol Utara
712,Kantor Kecamatan Balaesang Tanjung
